M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
32,7168,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
64,7168,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
1,14336,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
2,14336,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
4,14336,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
8,14336,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
16,14336,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
32,14336,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
64,14336,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
1,57344,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
2,57344,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
4,57344,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
8,57344,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
16,57344,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
32,57344,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
64,57344,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
1,8192,3584,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
2,8192,3584,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
4,8192,3584,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
8,8192,3584,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
16,8192,3584,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
32,8192,3584,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
64,8192,3584,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
1,8192,7168,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
2,8192,7168,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
4,8192,7168,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
8,8192,7168,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
16,8192,7168,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
32,8192,7168,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
64,8192,7168,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
1,8192,28672,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
2,8192,28672,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
4,8192,28672,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
8,8192,28672,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
16,8192,28672,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
32,8192,28672,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
64,8192,28672,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
1,4000,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
2,4000,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
4,4000,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
8,4000,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
16,4000,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
32,4000,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
64,4000,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
1,8000,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
2,8000,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
4,8000,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
8,8000,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
16,8000,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
32,8000,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
64,8000,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
1,32000,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
2,32000,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
4,32000,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
8,32000,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
16,32000,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
32,32000,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
64,32000,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
